case_id,analyst_id,customer_type,country,risk_rating,review_type,open_date,due_date,completion_date,case_status
KYC-0050,ANL-01,Corporate,France,Medium,Triggered,2026-03-12,2026-04-02,2026-03-30,Completed
KYC-0051,ANL-08,Individual,Ireland,Low,Periodic,2026-04-22,2026-06-11,2026-05-14,Completed
KYC-0052,ANL-05,Individual,France,Low,Triggered,2026-03-24,2026-04-19,2026-04-15,Completed
KYC-0053,ANL-07,Individual,Cyprus,Low,Triggered,2026-07-28,2026-08-23,,In Progress
KYC-0054,ANL-02,Individual,France,High,Periodic,2026-02-16,2026-03-28,2026-03-17,Completed
KYC-0055,ANL-07,Individual,Ireland,High,Periodic,2026-07-18,2026-08-27,,In Progress
KYC-0056,ANL-07,Corporate,Cyprus,Low,Triggered,2025-12-20,2026-01-15,2026-01-31,Completed
KYC-0057,ANL-08,Individual,Cyprus,Low,Onboarding,2026-09-08,2026-10-13,,In Progress
KYC-0058,ANL-05,Individual,Italy,Low,Onboarding,2026-08-22,2026-09-26,2026-09-16,Completed
KYC-0059,ANL-03,Individual,Greece,High,Onboarding,2026-08-28,2026-09-22,2026-09-05,Completed
KYC-0060,ANL-01,Individual,France,Medium,Periodic,2026-02-13,2026-03-30,2026-03-30,Completed
KYC-0061,ANL-04,Individual,France,Medium,Periodic,2026-09-02,2026-10-17,,In Progress
KYC-0062,ANL-04,Individual,Italy,Low,Periodic,2026-09-19,2026-11-08,,In Progress
KYC-0063,ANL-05,Individual,France,Medium,Onboarding,2026-08-05,2026-09-04,,In Progress
KYC-0064,ANL-02,Corporate,Cyprus,Low,Periodic,2026-01-19,2026-03-10,2026-02-18,Completed
KYC-0065,ANL-04,Individual,Cyprus,Medium,Periodic,2026-07-22,2026-09-05,,Open
KYC-0066,ANL-04,Individual,Spain,Low,Onboarding,2026-05-22,2026-06-26,2026-06-12,Completed
KYC-0067,ANL-03,Individual,Ireland,Low,Triggered,2026-08-06,2026-09-01,,In Progress
KYC-0068,ANL-02,Corporate,Germany,Medium,Triggered,2026-09-13,2026-10-04,,In Progress
KYC-0069,ANL-03,Individual,Germany,Low,Onboarding,2026-07-09,2026-08-13,2026-09-10,Completed
KYC-0070,ANL-05,Corporate,France,High,Periodic,2026-01-01,2026-02-10,2026-01-21,Completed
KYC-0071,ANL-05,Corporate,France,High,Onboarding,2026-08-26,2026-09-20,,In Progress
KYC-0072,ANL-07,Individual,Germany,High,Onboarding,2026-08-07,2026-09-01,2026-08-19,Completed
KYC-0073,ANL-05,Individual,Italy,Low,Periodic,2026-07-26,2026-09-14,,In Progress
KYC-0074,ANL-06,Corporate,Netherlands,Medium,Onboarding,2026-08-06,2026-09-05,2026-08-21,Completed
KYC-0075,ANL-06,Individual,Netherlands,High,Onboarding,2026-06-03,2026-06-28,,Open
KYC-0076,ANL-04,Corporate,Germany,Medium,Triggered,2026-01-01,2026-01-22,2026-02-15,Completed
KYC-0077,ANL-03,Individual,Greece,Low,Onboarding,2026-03-24,2026-04-28,2026-05-08,Completed
KYC-0078,ANL-06,Individual,France,Low,Onboarding,2026-09-23,2026-10-28,,Open
KYC-0079,ANL-04,Corporate,Greece,High,Onboarding,2026-02-02,2026-02-27,2026-02-20,Completed
KYC-0080,ANL-03,Corporate,Netherlands,High,Periodic,2026-05-21,2026-06-30,2026-06-30,Completed
KYC-0081,ANL-06,Individual,Germany,Low,Onboarding,2025-12-15,2026-01-19,2026-02-13,Completed
KYC-0082,ANL-08,Corporate,France,Low,Periodic,2026-07-23,2026-09-11,,Open
KYC-0083,ANL-02,Individual,France,High,Periodic,2026-09-11,2026-10-21,,In Progress
KYC-0084,ANL-01,Individual,Greece,Medium,Periodic,2026-08-11,2026-09-25,2026-08-14,Completed
KYC-0085,ANL-08,Individual,Greece,Medium,Periodic,2026-01-26,2026-03-12,2026-02-12,Completed
KYC-0086,ANL-07,Individual,Spain,Medium,Onboarding,2026-01-14,2026-02-13,2026-02-16,Completed
KYC-0087,ANL-05,Individual,Germany,Low,Triggered,2026-01-08,2026-02-03,2026-02-24,Completed
KYC-0088,ANL-01,Individual,Cyprus,Medium,Periodic,2026-02-18,2026-04-04,2026-04-07,Completed
KYC-0089,ANL-08,Corporate,Italy,Medium,Periodic,2026-09-10,2026-10-25,,Open
KYC-0090,ANL-07,Individual,Greece,Medium,Triggered,2026-08-18,2026-09-08,2026-09-16,Completed
KYC-0091,ANL-06,Individual,France,Low,Periodic,2026-07-27,2026-09-15,,Open
KYC-0092,ANL-08,Individual,Netherlands,Low,Onboarding,2026-03-20,2026-04-24,2026-03-26,Completed
KYC-0093,ANL-06,Individual,Germany,Low,Onboarding,2026-08-26,2026-09-30,,In Progress
KYC-0094,ANL-06,Corporate,Ireland,Medium,Onboarding,2026-07-02,2026-08-01,2026-07-08,Completed
KYC-0095,ANL-04,Corporate,Netherlands,Low,Triggered,2026-08-01,2026-08-27,,In Progress
KYC-0096,ANL-08,Individual,Germany,Low,Onboarding,2026-07-27,2026-08-31,,In Progress
KYC-0097,ANL-01,Individual,Greece,Medium,Periodic,2026-08-29,2026-10-13,,In Progress
KYC-0098,ANL-04,Individual,Cyprus,High,Periodic,2026-08-18,2026-09-27,2026-09-14,Completed
KYC-0099,ANL-05,Individual,Netherlands,Low,Onboarding,2026-04-19,2026-05-24,2026-06-03,Completed
KYC-0100,ANL-08,Corporate,Greece,High,Periodic,2026-07-15,2026-08-24,,In Progress
KYC-0101,ANL-07,Corporate,Ireland,Medium,Onboarding,2026-03-18,2026-04-17,2026-05-22,Completed
KYC-0102,ANL-06,Individual,Italy,Medium,Onboarding,2026-08-21,2026-09-20,,In Progress
KYC-0103,ANL-02,Individual,Spain,Low,Periodic,2026-07-17,2026-09-05,2026-09-18,Completed
KYC-0104,ANL-02,Individual,Ireland,Low,Periodic,2026-08-03,2026-09-22,,In Progress
KYC-0105,ANL-07,Individual,Italy,Low,Onboarding,2026-03-01,2026-04-05,2026-04-15,Completed
KYC-0106,ANL-01,Individual,Netherlands,Medium,Periodic,2026-09-11,2026-10-26,,Open
KYC-0107,ANL-02,Individual,Italy,Low,Onboarding,2026-03-17,2026-04-21,2026-04-21,Completed
KYC-0108,ANL-07,Corporate,Italy,Low,Periodic,2026-07-04,2026-08-23,,In Progress
KYC-0109,ANL-02,Individual,Netherlands,Medium,Periodic,2026-08-29,2026-10-13,,In Progress
KYC-0110,ANL-03,Corporate,Netherlands,Medium,Periodic,2026-09-06,2026-10-21,,In Progress
KYC-0111,ANL-04,Corporate,Ireland,Low,Periodic,2026-07-01,2026-08-20,2026-07-22,Completed
KYC-0112,ANL-03,Individual,Greece,High,Periodic,2026-09-16,2026-10-26,,Open
KYC-0113,ANL-03,Corporate,France,Low,Periodic,2026-09-19,2026-11-08,,Open
KYC-0114,ANL-05,Corporate,Netherlands,Low,Periodic,2026-09-22,2026-11-11,,In Progress
KYC-0115,ANL-01,Corporate,Netherlands,Low,Periodic,2026-09-10,2026-10-30,,In Progress
KYC-0116,ANL-08,Individual,Cyprus,Low,Onboarding,2026-09-03,2026-10-08,,Open
KYC-0117,ANL-04,Individual,Netherlands,High,Periodic,2025-12-12,2026-01-21,2026-01-15,Completed
KYC-0118,ANL-01,Individual,Ireland,Medium,Periodic,2026-09-12,2026-10-27,,In Progress
KYC-0119,ANL-04,Individual,Ireland,Medium,Periodic,2026-08-30,2026-10-14,,In Progress
KYC-0120,ANL-04,Corporate,Spain,Medium,Onboarding,2026-07-02,2026-08-01,2026-07-16,Completed
KYC-0121,ANL-04,Individual,Netherlands,Medium,Periodic,2026-04-04,2026-05-19,2026-04-07,Completed
KYC-0122,ANL-04,Individual,Germany,Medium,Periodic,2026-07-30,2026-09-13,,Open
KYC-0123,ANL-07,Corporate,Germany,Low,Onboarding,2026-04-05,2026-05-10,2026-06-05,Completed
KYC-0124,ANL-08,Individual,Netherlands,Medium,Onboarding,2026-03-10,2026-04-09,2026-05-03,Completed
KYC-0125,ANL-06,Corporate,Italy,Low,Onboarding,2026-03-20,2026-04-24,2026-04-19,Completed
KYC-0126,ANL-02,Corporate,Cyprus,Medium,Onboarding,2026-03-21,2026-04-20,2026-04-25,Completed
KYC-0127,ANL-03,Corporate,Italy,Low,Onboarding,2026-06-05,2026-07-10,2026-07-18,Completed
KYC-0128,ANL-03,Corporate,Netherlands,Low,Onboarding,2026-09-05,2026-10-10,,In Progress
KYC-0129,ANL-06,Individual,Ireland,Medium,Triggered,2026-09-22,2026-10-13,,In Progress
KYC-0130,ANL-04,Corporate,Germany,Low,Periodic,2025-11-26,2026-01-15,2025-12-31,Completed
KYC-0131,ANL-06,Individual,Spain,High,Triggered,2026-05-29,2026-06-14,2026-07-09,Completed
KYC-0132,ANL-03,Individual,Cyprus,Medium,Onboarding,2026-07-05,2026-08-04,2026-07-19,Completed
KYC-0133,ANL-01,Individual,Cyprus,High,Periodic,2026-03-30,2026-05-09,2026-04-11,Completed
KYC-0134,ANL-02,Individual,Greece,High,Periodic,2026-07-31,2026-09-09,,Open
KYC-0135,ANL-08,Individual,Cyprus,Medium,Periodic,2026-07-07,2026-08-21,2026-07-20,Completed
KYC-0136,ANL-08,Individual,Italy,Low,Periodic,2026-06-16,2026-08-05,2026-08-13,Completed
KYC-0137,ANL-07,Corporate,France,Medium,Periodic,2026-01-11,2026-02-25,2026-02-26,Completed
KYC-0138,ANL-08,Individual,Germany,High,Onboarding,2026-09-01,2026-09-26,,In Progress
KYC-0139,ANL-04,Individual,Cyprus,High,Triggered,2026-03-07,2026-03-23,2026-04-12,Completed
KYC-0140,ANL-07,Individual,Ireland,Low,Triggered,2026-07-11,2026-08-06,2026-08-10,Completed
KYC-0141,ANL-01,Individual,Italy,Low,Onboarding,2026-07-21,2026-08-25,2026-08-12,Completed
KYC-0142,ANL-02,Individual,France,Low,Periodic,2026-09-02,2026-10-22,,Open
KYC-0143,ANL-08,Individual,Netherlands,Medium,Periodic,2026-07-24,2026-09-07,2026-08-16,Completed
KYC-0144,ANL-01,Individual,Ireland,Low,Triggered,2026-04-21,2026-05-17,2026-06-21,Completed
KYC-0145,ANL-05,Individual,Greece,Medium,Triggered,2026-09-12,2026-10-03,,In Progress
KYC-0146,ANL-04,Corporate,Germany,Low,Onboarding,2026-09-16,2026-10-21,,In Progress
KYC-0147,ANL-01,Individual,France,Low,Triggered,2026-09-05,2026-10-01,,In Progress
KYC-0148,ANL-05,Corporate,France,High,Periodic,2026-08-02,2026-09-11,,In Progress
KYC-0149,ANL-07,Individual,France,Medium,Periodic,2026-06-07,2026-07-22,2026-06-19,Completed
KYC-0150,ANL-06,Individual,Italy,Medium,Periodic,2026-08-20,2026-10-04,,In Progress
KYC-0151,ANL-04,Corporate,Ireland,Medium,Triggered,2026-08-10,2026-08-31,,In Progress
KYC-0152,ANL-01,Corporate,France,Medium,Triggered,2026-02-12,2026-03-05,2026-03-14,Completed
KYC-0153,ANL-04,Individual,Greece,High,Onboarding,2026-08-01,2026-08-26,,Open
KYC-0154,ANL-03,Individual,Netherlands,High,Periodic,2026-06-10,2026-07-20,,Open
KYC-0155,ANL-01,Corporate,Greece,Medium,Onboarding,2025-11-28,2025-12-28,2025-12-16,Completed
KYC-0156,ANL-02,Individual,Germany,Medium,Periodic,2026-01-27,2026-03-13,2026-03-07,Completed
KYC-0157,ANL-01,Individual,Germany,Medium,Triggered,2026-05-24,2026-06-14,2026-06-29,Completed
KYC-0158,ANL-08,Individual,Germany,High,Onboarding,2026-09-23,2026-10-18,,In Progress
KYC-0159,ANL-06,Individual,Ireland,Medium,Periodic,2026-05-06,2026-06-20,2026-05-20,Completed
KYC-0160,ANL-01,Corporate,Germany,High,Periodic,2025-11-25,2026-01-04,2026-01-17,Completed
KYC-0161,ANL-03,Corporate,Germany,Low,Periodic,2026-02-08,2026-03-30,2026-02-18,Completed
KYC-0162,ANL-04,Corporate,Netherlands,Medium,Periodic,2026-09-07,2026-10-22,,Open
KYC-0163,ANL-07,Individual,Cyprus,High,Onboarding,2026-08-21,2026-09-15,,In Progress
KYC-0164,ANL-07,Corporate,Greece,Low,Periodic,2026-07-11,2026-08-30,,In Progress
KYC-0165,ANL-08,Individual,Italy,Medium,Periodic,2026-04-15,2026-05-30,2026-05-19,Completed
KYC-0166,ANL-05,Individual,Greece,Low,Triggered,2026-08-29,2026-09-24,,In Progress
KYC-0167,ANL-07,Individual,Spain,Low,Periodic,2026-08-25,2026-10-14,,Open
KYC-0168,ANL-06,Corporate,Cyprus,Low,Triggered,2026-09-12,2026-10-08,,Open
KYC-0169,ANL-08,Individual,Spain,Medium,Periodic,2026-09-07,2026-10-22,,In Progress
KYC-0170,ANL-05,Corporate,France,Medium,Onboarding,2026-08-19,2026-09-18,,Open
KYC-0171,ANL-04,Corporate,Cyprus,Low,Triggered,2026-09-10,2026-10-06,,Open
KYC-0172,ANL-03,Corporate,Italy,Low,Triggered,2025-12-03,2025-12-29,2026-01-20,Completed
KYC-0173,ANL-01,Corporate,Cyprus,Low,Onboarding,2026-08-13,2026-09-17,,In Progress
KYC-0174,ANL-08,Corporate,Cyprus,Low,Triggered,2026-08-10,2026-09-05,,Open
KYC-0175,ANL-03,Individual,Germany,Medium,Onboarding,2026-08-22,2026-09-21,,Open
KYC-0176,ANL-08,Individual,Greece,Low,Periodic,2026-08-02,2026-09-21,,In Progress
KYC-0177,ANL-02,Individual,France,Low,Periodic,2026-01-20,2026-03-11,2026-03-14,Completed
KYC-0178,ANL-03,Corporate,Italy,High,Periodic,2026-01-11,2026-02-20,2026-02-23,Completed
KYC-0179,ANL-08,Individual,Ireland,Medium,Periodic,2026-06-28,2026-08-12,2026-08-28,Completed
KYC-0180,ANL-05,Individual,Ireland,Medium,Onboarding,2026-08-17,2026-09-16,,In Progress
KYC-0181,ANL-02,Corporate,Netherlands,Medium,Periodic,2026-09-12,2026-10-27,,Open
KYC-0182,ANL-06,Individual,Greece,Medium,Periodic,2026-05-19,2026-07-03,2026-06-07,Completed
KYC-0183,ANL-08,Individual,Italy,High,Periodic,2026-07-28,2026-09-06,,In Progress
KYC-0184,ANL-02,Individual,Ireland,High,Onboarding,2026-09-17,2026-10-12,,In Progress
KYC-0185,ANL-05,Individual,France,Medium,Periodic,2026-03-10,2026-04-24,2026-05-02,Completed
KYC-0186,ANL-06,Individual,Spain,Medium,Onboarding,2026-08-14,2026-09-13,,In Progress
KYC-0187,ANL-03,Corporate,France,Medium,Onboarding,2026-06-28,2026-07-28,2026-07-31,Completed
KYC-0188,ANL-04,Individual,Ireland,Medium,Periodic,2026-09-05,2026-10-20,,Open
KYC-0189,ANL-08,Individual,Italy,Medium,Periodic,2026-06-25,2026-08-09,2026-08-05,Completed
KYC-0190,ANL-07,Corporate,France,Low,Onboarding,2026-08-06,2026-09-10,2026-09-17,Completed
KYC-0191,ANL-01,Individual,Germany,Medium,Periodic,2026-09-03,2026-10-18,,In Progress
KYC-0192,ANL-05,Individual,Greece,Low,Triggered,2026-07-04,2026-07-30,,Open
KYC-0193,ANL-03,Individual,France,Low,Periodic,2026-08-28,2026-10-17,,In Progress
KYC-0194,ANL-05,Individual,Spain,Medium,Periodic,2026-08-13,2026-09-27,,Open
KYC-0195,ANL-07,Individual,Germany,High,Periodic,2026-06-08,2026-07-18,,In Progress
KYC-0196,ANL-07,Corporate,Spain,Medium,Onboarding,2026-09-05,2026-10-05,,In Progress
KYC-0197,ANL-02,Corporate,Netherlands,Medium,Onboarding,2026-07-22,2026-08-21,,Open
KYC-0198,ANL-06,Individual,Germany,Medium,Periodic,2026-05-16,2026-06-30,2026-06-16,Completed
KYC-0199,ANL-03,Corporate,Italy,Medium,Onboarding,2026-08-04,2026-09-03,,In Progress
KYC-0200,ANL-06,Corporate,Spain,Low,Periodic,2026-06-27,2026-08-16,,In Progress
KYC-0201,ANL-04,Individual,France,High,Onboarding,2026-04-13,2026-05-08,2026-06-17,Completed
KYC-0202,ANL-05,Individual,Italy,Medium,Triggered,2026-09-01,2026-09-22,,Open
KYC-0203,ANL-02,Individual,Germany,Low,Onboarding,2026-07-22,2026-08-26,,In Progress
KYC-0204,ANL-01,Corporate,Germany,Medium,Periodic,2026-09-20,2026-11-04,,Open
KYC-0205,ANL-08,Corporate,Netherlands,Medium,Periodic,2026-05-22,2026-07-06,2026-07-15,Completed
KYC-0206,ANL-04,Individual,Italy,Low,Periodic,2026-01-07,2026-02-26,2026-01-24,Completed
KYC-0207,ANL-01,Individual,Greece,Medium,Triggered,2026-04-21,2026-05-12,2026-06-22,Completed
KYC-0208,ANL-05,Individual,Netherlands,Low,Periodic,2025-12-16,2026-02-04,2026-01-01,Completed
KYC-0209,ANL-03,Individual,Italy,Low,Onboarding,2026-09-22,2026-10-27,,Open
KYC-0210,ANL-07,Individual,Netherlands,Low,Triggered,2026-02-13,2026-03-11,2026-03-22,Completed
KYC-0211,ANL-07,Corporate,Ireland,Medium,Triggered,2026-08-17,2026-09-07,,In Progress
KYC-0212,ANL-06,Corporate,Italy,Medium,Onboarding,2026-04-29,2026-05-29,2026-05-08,Completed
KYC-0213,ANL-02,Individual,Netherlands,High,Triggered,2026-01-12,2026-01-28,2026-03-13,Completed
KYC-0214,ANL-03,Corporate,Greece,Low,Onboarding,2026-09-04,2026-10-09,,Open
KYC-0215,ANL-06,Corporate,Netherlands,Medium,Triggered,2026-08-04,2026-08-25,,In Progress
KYC-0216,ANL-01,Individual,Netherlands,Medium,Onboarding,2026-06-24,2026-07-24,2026-08-07,Completed
KYC-0217,ANL-08,Individual,Cyprus,Low,Periodic,2026-09-11,2026-10-31,,In Progress
KYC-0218,ANL-05,Individual,Ireland,Low,Periodic,2026-09-05,2026-10-25,,In Progress
KYC-0219,ANL-08,Corporate,Italy,High,Periodic,2026-08-02,2026-09-11,2026-09-09,Completed
KYC-0220,ANL-07,Individual,Greece,Low,Onboarding,2026-06-09,2026-07-14,2026-08-10,Completed
KYC-0221,ANL-01,Corporate,Germany,Medium,Periodic,2026-09-17,2026-11-01,,In Progress
KYC-0222,ANL-08,Individual,Cyprus,High,Periodic,2026-07-22,2026-08-31,,In Progress
KYC-0223,ANL-05,Corporate,Netherlands,Medium,Triggered,2026-05-20,2026-06-10,2026-07-16,Completed
KYC-0224,ANL-08,Individual,Italy,High,Triggered,2026-09-10,2026-09-26,2026-09-18,Completed
KYC-0225,ANL-03,Individual,Spain,Medium,Triggered,2026-05-03,2026-05-24,2026-06-04,Completed
KYC-0226,ANL-03,Individual,Cyprus,Medium,Onboarding,2026-01-03,2026-02-02,2026-02-27,Completed
KYC-0227,ANL-08,Corporate,Netherlands,Low,Periodic,2026-03-30,2026-05-19,2026-05-26,Completed
KYC-0228,ANL-08,Corporate,Ireland,Low,Periodic,2026-09-16,2026-11-05,,In Progress
KYC-0229,ANL-03,Individual,France,Medium,Triggered,2026-08-28,2026-09-18,,In Progress
KYC-0230,ANL-04,Corporate,Netherlands,Low,Triggered,2026-09-18,2026-10-14,,In Progress
KYC-0231,ANL-01,Individual,Italy,Low,Periodic,2026-08-29,2026-10-18,2026-09-11,Completed
KYC-0232,ANL-03,Corporate,Spain,Low,Triggered,2026-08-10,2026-09-05,,Open
KYC-0233,ANL-03,Corporate,Cyprus,High,Periodic,2026-09-22,2026-11-01,,In Progress
KYC-0234,ANL-04,Corporate,Ireland,High,Onboarding,2025-12-18,2026-01-12,2026-02-11,Completed
KYC-0235,ANL-02,Individual,Italy,Low,Onboarding,2026-07-30,2026-09-03,2026-09-09,Completed
KYC-0236,ANL-05,Corporate,Cyprus,Low,Triggered,2026-08-14,2026-09-09,2026-08-24,Completed
KYC-0237,ANL-05,Corporate,Germany,Low,Periodic,2026-04-08,2026-05-28,2026-05-14,Completed
KYC-0238,ANL-05,Corporate,Spain,Medium,Triggered,2026-09-09,2026-09-30,,In Progress
KYC-0239,ANL-04,Individual,France,Low,Onboarding,2026-01-08,2026-02-12,2026-03-05,Completed
KYC-0240,ANL-06,Individual,France,Low,Periodic,2026-02-01,2026-03-23,2026-03-23,Completed
KYC-0241,ANL-07,Individual,Italy,Low,Periodic,2026-03-19,2026-05-08,2026-05-20,Completed
KYC-0242,ANL-08,Corporate,Netherlands,Medium,Onboarding,2026-09-02,2026-10-02,,In Progress
KYC-0243,ANL-06,Individual,Ireland,Low,Onboarding,2026-08-03,2026-09-07,,Open
KYC-0244,ANL-07,Individual,France,High,Onboarding,2026-08-12,2026-09-06,2026-09-12,Completed
KYC-0245,ANL-05,Individual,Netherlands,Medium,Triggered,2025-12-15,2026-01-05,2025-12-27,Completed
KYC-0246,ANL-08,Corporate,Cyprus,High,Onboarding,2026-08-01,2026-08-26,,In Progress
KYC-0247,ANL-06,Corporate,Ireland,Medium,Periodic,2026-09-03,2026-10-18,,In Progress
KYC-0248,ANL-02,Individual,Greece,Medium,Periodic,2026-03-26,2026-05-10,2026-04-10,Completed
KYC-0249,ANL-04,Individual,Greece,Low,Triggered,2026-09-21,2026-10-17,,In Progress
KYC-0250,ANL-07,Individual,Spain,Low,Periodic,2026-09-06,2026-10-26,,Open
KYC-0251,ANL-07,Individual,Ireland,Medium,Onboarding,2026-08-17,2026-09-16,2026-08-27,Completed
KYC-0252,ANL-03,Individual,Ireland,Medium,Periodic,2026-07-24,2026-09-07,,Open
KYC-0253,ANL-02,Individual,Greece,High,Onboarding,2026-01-30,2026-02-24,2026-02-10,Completed
KYC-0254,ANL-05,Corporate,Spain,Medium,Periodic,2026-08-08,2026-09-22,,In Progress
KYC-0255,ANL-07,Individual,Spain,Medium,Onboarding,2026-09-04,2026-10-04,,In Progress
KYC-0256,ANL-08,Corporate,Cyprus,Low,Periodic,2026-08-30,2026-10-19,,In Progress
KYC-0257,ANL-04,Individual,Netherlands,Medium,Periodic,2026-04-06,2026-05-21,2026-05-27,Completed
KYC-0258,ANL-03,Corporate,Ireland,High,Onboarding,2025-12-13,2026-01-07,2026-01-11,Completed
KYC-0259,ANL-04,Individual,Italy,Low,Periodic,2026-06-02,2026-07-22,2026-07-07,Completed
KYC-0260,ANL-04,Individual,Cyprus,High,Onboarding,2026-02-04,2026-03-01,2026-02-11,Completed
KYC-0261,ANL-03,Individual,France,Low,Onboarding,2026-03-08,2026-04-12,2026-05-11,Completed
KYC-0262,ANL-04,Corporate,Spain,Low,Onboarding,2026-04-06,2026-05-11,2026-04-19,Completed
KYC-0263,ANL-03,Individual,Spain,Medium,Onboarding,2026-01-27,2026-02-26,2026-03-14,Completed
KYC-0264,ANL-01,Individual,Ireland,Medium,Periodic,2026-06-30,2026-08-14,2026-07-22,Completed
